,SalePrice
0,208500
1,181500
2,223500
3,140000
4,250000
5,143000
6,307000
7,129900
8,118000
9,345000
10,144000
11,279500
12,157000
13,132000
14,149000
15,159000
16,325300
17,139400
18,230000
19,129900
20,256300
21,306000
22,207500
23,68500
24,40000
25,149350
26,179900
27,165500
28,277500
29,309000
30,145000
31,153000
32,109000
33,160000
34,144000
35,130250
36,141000
37,239686
38,249700
39,113000
40,127000
41,177000
42,114500
43,110000
44,130000
45,180500
46,172500
47,196500
48,438780
49,124900
50,158000
51,101000
52,202500
53,140000
54,219500
55,226000
56,80000
57,225000
58,244000
59,129500
60,185000
61,144900
62,107400
63,91000
64,135750
65,127000
66,136500
67,110000
68,193500
69,153500
70,245000
71,126500
72,168500
73,174000
74,85000
75,123600
76,109900
77,98600
78,163500
79,133900
80,204750
81,185000
82,214000
83,94750
84,83000
85,128950
86,205000
87,178000
88,118964
89,198900
90,169500
91,250000
92,100000
93,115000
94,115000
95,190000
96,136900
97,180000
98,383970
99,217000
100,259500
101,176000
102,139000
103,155000
104,320000
105,163990
106,180000
107,100000
108,136000
109,153900
110,181000
111,84500
112,128000
113,87000
114,155000
115,150000
116,226000
117,244000
118,150750
119,220000
120,180000
121,143000
122,171000
123,230000
124,231500
125,115000
126,260000
127,166000
128,125000
129,130000
130,105000
131,222500
132,141000
133,115000
134,122000
135,372402
136,190000
137,235000
138,125000
139,109500
140,269500
141,254900
142,320000
143,162500
144,412500
145,220000
146,103200
147,152000
148,127500
149,190000
150,325624
151,183500
152,228000
153,215000
154,239000
155,163000
156,184000
157,243000
158,211000
159,172500
160,501837
161,100000
162,177000
163,200100
164,120000
165,200000
166,127000
167,475000
168,135000
169,153337
170,286000
171,315000
172,184000
173,192000
174,130000
175,127000
176,148500
177,311872
178,235000
179,104000
180,274900
181,171500
182,112000
183,110000
184,180500
185,141000
186,277000
187,98000
188,252678
189,156000
190,161750
191,134450
192,210000
193,107000
194,311500
195,167240
196,204900
197,200000
198,179900
199,97000
200,386250
201,290000
202,106000
203,125000
204,148000
205,403000
